ocel:eid,ocel:timestamp,ocel:activity,ocel:type:case:concept:name,ocel:type:org:resource,ocel:type:case:repo
1084,2021-02-08 11:29:30+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/208/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1085,2021-02-08 11:29:30+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/208/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1089,2021-02-08 17:54:48+00:00,subscribed,['https://api.github.com/repos/pm4py/pm4py-core/issues/209/timeline'],['Brinkhuis'],['pm4py/pm4py-core']
1090,2021-02-08 17:55:12+00:00,subscribed,['https://api.github.com/repos/pm4py/pm4py-core/issues/209/timeline'],['Brinkhuis'],['pm4py/pm4py-core']
1091,2021-02-09 11:03:13+00:00,mentioned,['https://api.github.com/repos/pm4py/pm4py-core/issues/209/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1092,2021-02-09 11:03:13+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/209/timeline'],['Brinkhuis'],['pm4py/pm4py-core']
1093,2021-02-09 11:03:14+00:00,subscribed,['https://api.github.com/repos/pm4py/pm4py-core/issues/209/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1094,2021-02-15 08:23:46+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/210/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1073,2021-02-15 16:27:36+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/205/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1074,2021-02-15 16:27:36+00:00,merged,['https://api.github.com/repos/pm4py/pm4py-core/issues/205/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1095,2021-02-15 16:28:00+00:00,merged,['https://api.github.com/repos/pm4py/pm4py-core/issues/210/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1096,2021-02-15 16:28:01+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/210/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1082,2021-02-15 16:28:14+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/207/timeline'],['fit-sebastiaan-van-zelst'],['pm4py/pm4py-core']
1097,2021-02-17 14:02:57+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/211/timeline'],['PMarincola'],['pm4py/pm4py-core']
1098,2021-02-17 16:14:24+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/211/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
1099,2021-02-17 16:16:16+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/211/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
1101,2021-03-01 03:49:35+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/212/timeline'],['adamburkegh'],['pm4py/pm4py-core']
1102,2021-03-01 03:53:24+00:00,head_ref_deleted,['https://api.github.com/repos/pm4py/pm4py-core/issues/212/timeline'],['adamburkegh'],['pm4py/pm4py-core']
1103,2021-03-01 03:53:24+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/212/timeline'],['adamburkegh'],['pm4py/pm4py-core']
1104,2021-03-01 03:57:05+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/213/timeline'],['adamburkegh'],['pm4py/pm4py-core']
1105,2021-03-02 07:19:23+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/213/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
